Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G09450	31
AT1G09460	17
AT1G09470	33
AT1G09480	82
AT1G09483	1
AT1G09490	1045
AT1G09500	67
AT1G09510	0
AT1G09520	349.33
AT1G09530	177
AT1G09540	19.50
AT1G09550	0
AT1G09560	1882.50
AT1G09570	482.83
AT1G09575	74
AT1G09580	204.50
AT1G09590	2730.83
AT1G09600	2
AT1G09610	9
AT1G09620	1093.50
AT1G09625	0
AT1G09630	295.50
AT1G09640	3588.67
AT1G09645	668
AT1G09650	4
AT1G09660	819.50
AT1G09665	0
AT1G09680	16
AT1G09690	3724
AT1G09700	118.25
AT1G09710	133
AT1G09720	0
AT1G09730	164
AT1G09740	332.50
AT1G09750	4218.50
AT1G09760	541.50
AT1G09770	517.50
AT1G09780	2175.50
AT1G09790	0
AT1G09794	61
AT1G09795	1923.33
AT1G09800	41
AT1G09810	76
AT1G09812	59
AT1G09815	492.50
AT1G09820	16
AT1G09830	916
AT1G09840	393
AT1G09850	550
AT1G09860	28
AT1G09870	335
AT1G09880	5
AT1G09890	8
AT1G09900	150.50
AT1G09910	235.50
AT1G09920	717
AT1G09930	1
AT1G09932	541
AT1G09935	4
AT1G09940	259
AT1G09950	44
AT1G09960	99
AT1G09970	2351
AT1G09980	185.50
AT1G09995	89.50
AT1G10000	18
AT1G10010	0
AT1G10020	880
AT1G10030	368.83
AT1G10040	17
AT1G10050	127
AT1G10060	142.50
AT1G10070	109.50
AT1G10090	456
AT1G10095	74
AT1G10100	0
AT1G10110	12
AT1G10120	214
AT1G10130	392.50
AT1G10140	229.50
AT1G10150	302.50
AT1G10155	5.50
AT1G10170	511
AT1G10180	142
AT1G10190	0
AT1G10200	2798.58
AT1G10210	230
AT1G10220	3
AT1G10230	222
AT1G10240	75
AT1G10250	0
AT1G10270	123.50
AT1G10280	114
AT1G10290	1038.50
AT1G10300	1
AT1G10310	490.50
AT1G10320	61
AT1G10330	28
AT1G10340	236.50
AT1G10350	335
AT1G10360	1474.50
AT1G10370	433
AT1G10380	98
AT1G10385	0
AT1G10390	825.50
AT1G10400	1
AT1G10410	530
AT1G10417	16
AT1G10430	679.00
AT1G10440	0
AT1G10450	92
AT1G10455	0
AT1G10460	37
AT1G10470	4594.50
AT1G10480	10
AT1G10490	658.67
AT1G10500	1870.73
AT1G10510	485.50
AT1G10520	5
AT1G10522	757.50
AT1G10530	9
AT1G10540	16
AT1G10550	104
AT1G10560	31
AT1G10570	128
AT1G10580	326.83
AT1G10585	18
AT1G10586	0
AT1G10588	0
AT1G10590	1953.50
AT1G10600	408
AT1G10610	51
AT1G10620	0.50
AT1G10630	1500.00
AT1G10640	168
AT1G10650	204
AT1G10652	0
AT1G10657	124
AT1G10660	967.33
AT1G10670	2560.50
AT1G10680	0
AT1G10682	712.50
AT1G10690	92
AT1G10700	785.50
AT1G10710	0
AT1G10717	0
AT1G10720	233
AT1G10730	45.50
AT1G10740	961.00
AT1G10745	0
AT1G10747	0
AT1G10750	44
AT1G10760	1749.17
AT1G10770	45
AT1G10780	37
AT1G10790	4
AT1G10800	5
AT1G10810	1
AT1G10820	140
AT1G10830	886.75
AT1G10840	2260
AT1G10850	335
AT1G10865	523.00
AT1G10870	143.50
AT1G10880	0
AT1G10890	315
AT1G10900	199
AT1G10910	282
AT1G10920	54
AT1G10930	54
AT1G10940	995
AT1G10950	2150.50
AT1G10960	13252.75
AT1G10970	115
AT1G10980	44
AT1G10990	181
AT1G11000	91
AT1G11010	0
AT1G11020	290
AT1G11030	0
AT1G11040	0
AT1G11050	360.50
AT1G11060	72
AT1G11070	0
AT1G11080	20
AT1G11090	366
AT1G11100	8
AT1G11110	1
AT1G11112	65
AT1G11120	77
AT1G11125	36
AT1G11130	231
AT1G11145	0
AT1G11160	7
AT1G11170	45
AT1G11175	443
AT1G11180	396
AT1G11185	18.50
AT1G11190	41
AT1G11200	541
AT1G11210	325
AT1G11220	93
AT1G11230	0
AT1G11240	264.50
AT1G11250	0
AT1G11260	2791
AT1G11270	37.40
AT1G11280	103
AT1G11290	67
AT1G11300	109.50
AT1G11310	2016
AT1G11320	54.50
AT1G11330	628.50
AT1G11340	25
AT1G11350	363.50
AT1G11360	659
AT1G11362	8
AT1G11370	0
AT1G11380	151
AT1G11390	214.50
AT1G11400	236
AT1G11410	112.50
AT1G11420	8
AT1G11430	3153
AT1G11440	128.50
AT1G11450	54.25
AT1G11460	1.75
AT1G11470	0
AT1G11475	669
AT1G11480	436.50
AT1G11490	0
AT1G11500	21
AT1G11510	0
AT1G11520	0
AT1G11530	1384
AT1G11540	22.50
AT1G11545	1017
AT1G11550	0
AT1G11560	0
AT1G11570	30
AT1G11572	0
AT1G11580	546.50
AT1G11590	0
AT1G11592	188.50
AT1G11593	0
AT1G11600	242
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	78.50
AT1G11640	2
AT1G11650	4813.58
AT1G11655	0
AT1G11660	203
AT1G11670	160
AT1G11680	1713
AT1G11684	0.50
AT1G11690	0
AT1G11700	786.50
AT1G11710	26
AT1G11720	286
AT1G11730	31
AT1G11735	41
AT1G11740	144
AT1G11750	2370.58
AT1G11755	184.50
AT1G11760	151
AT1G11765	0
AT1G11770	1.50
AT1G11780	201
AT1G11785	26
AT1G11790	616.33
AT1G11800	159.50
AT1G11810	14.50
AT1G11820	677.50
AT1G11840	2580.50
AT1G11850	617.33
AT1G11860	21191.25
AT1G11870	510
AT1G11880	125
AT1G11890	1357
AT1G11900	44
AT1G11905	235
AT1G11910	6974.25
AT1G11915	6
AT1G11920	0
AT1G11925	0.50
AT1G11930	862
AT1G11940	50.50
AT1G11950	50.50
AT1G11960	334.50
AT1G11970	0
AT1G11980	0
AT1G11990	18
AT1G12000	711
AT1G12010	57.83
AT1G12013	4
AT1G12015	4
AT1G12020	414.50
AT1G12030	1
AT1G12040	0
AT1G12050	1008
AT1G12060	158
AT1G12064	0
AT1G12070	2.50
AT1G12080	879
AT1G12090	24349.33
AT1G12100	11.50
AT1G12110	4612.50
AT1G12120	425
AT1G12130	0
AT1G12140	707.50
AT1G12150	11.50
AT1G12160	55
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	112
AT1G12210	35
AT1G12211	1
AT1G12220	60.50
AT1G12230	1265.50
AT1G12240	2717
AT1G12244	285
AT1G12250	2653.00
AT1G12260	11
AT1G12270	319.50
AT1G12280	111
AT1G12290	25
AT1G12294	0
AT1G12300	18
AT1G12310	2184.33
AT1G12320	98
AT1G12330	422.50
AT1G12340	2
AT1G12350	233
AT1G12360	434
AT1G12370	76
AT1G12380	139
AT1G12390	366
AT1G12400	348
AT1G12410	3487.83
AT1G12411	0
AT1G12420	88
AT1G12423	0
AT1G12430	207
