Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/WT2.sam
AT1G12070	3
AT1G12080	497.50
AT1G12090	15942.50
AT1G12100	18
AT1G12110	4684.33
AT1G12120	725
AT1G12130	1.50
AT1G12140	922
AT1G12150	12
AT1G12160	34
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	132
AT1G12210	37
AT1G12211	0
AT1G12220	207
AT1G12230	1566.50
AT1G12240	3675.83
AT1G12244	287.50
AT1G12250	1865.50
AT1G12260	20
AT1G12270	590.50
AT1G12280	189.50
AT1G12290	48.50
AT1G12294	0.50
AT1G12300	54.67
AT1G12310	1927.67
AT1G12320	126
AT1G12330	505.50
AT1G12340	2
AT1G12350	339.50
AT1G12360	611.50
AT1G12370	92.50
AT1G12380	281
AT1G12390	201
AT1G12400	179
AT1G12410	4367.33
AT1G12411	0
AT1G12420	180
AT1G12423	0
AT1G12430	460
AT1G12440	1643
AT1G12450	189.50
AT1G12451	0
AT1G12460	395.50
AT1G12470	572.50
AT1G12480	90
AT1G12490	0
AT1G12500	1368.67
AT1G12510	0
AT1G12520	1620.00
AT1G12530	209
AT1G12540	0
AT1G12550	218
AT1G12560	0
AT1G12570	240
AT1G12580	665.33
AT1G12590	0
AT1G12600	11.67
AT1G12610	161
AT1G12620	125.50
AT1G12630	3
AT1G12640	641.00
AT1G12650	178.50
AT1G12660	0
AT1G12663	0
AT1G12665	0
AT1G12672	4
AT1G12680	320.50
AT1G12700	50
AT1G12710	552.50
AT1G12730	207
AT1G12740	0
AT1G12750	492.00
AT1G12760	1372.50
AT1G12770	1220.50
AT1G12775	51
AT1G12780	744.50
AT1G12790	59.50
AT1G12800	2633
AT1G12805	9
AT1G12810	517
AT1G12820	882.50
AT1G12830	195
AT1G12840	4284.50
AT1G12845	209.50
AT1G12850	958
AT1G12855	7
AT1G12860	665.50
AT1G12870	0
AT1G12880	99.50
AT1G12890	1
AT1G12900	48565.54
AT1G12910	394.50
AT1G12920	1246.50
AT1G12930	365.00
AT1G12938	0
AT1G12940	31.50
AT1G12950	5
AT1G12960	0
AT1G12970	180
AT1G12980	1
AT1G12990	809
AT1G13000	348.00
AT1G13010	0
AT1G13020	907
AT1G13030	79
AT1G13040	26
AT1G13050	43
AT1G13060	2402
AT1G13080	311
AT1G13090	1055
AT1G13100	254
AT1G13110	2474.33
AT1G13120	196.83
AT1G13130	2.50
AT1G13140	14
AT1G13150	19
AT1G13160	267
AT1G13170	519
AT1G13180	221.50
AT1G13190	672
AT1G13195	144.50
AT1G13200	0
AT1G13210	1691.33
AT1G13220	156
AT1G13230	7
